"optimal" "dWSurv_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"56" 6.65133155999399 6.74796154924622 7.04642794963161 6.59004358368632 6.86908716028524 6.73250966693074
"57" 7.13966202773282 6.58181819916856 6.88518831586126 7.40311239716653 6.63274630351395 7.43078246746197
"58" 6.63086291969906 6.51480427206165 7.03508202641134 6.24570061198417 6.38674120890173 6.94239156227513
"59" 7.05865938429985 6.86935479091267 7.30374958616613 6.77445676928201 6.51485230575853 6.92004553456572
"60" 6.78550614929409 6.87900193087883 6.90514658169803 6.81357171983867 7.52222638127269 6.40426216554208
"61" 6.70409153452174 7.05160783386792 6.97558877218797 6.36451526855293 7.65544461736989 6.88440926885075
"62" 6.67018354069886 6.66290247031111 6.96049522465997 7.03178663620293 7.40242350993956 6.58435981237265
"63" 6.46728873047308 6.17483695978359 5.89997957319027 5.97663854278335 6.22455397372197 6.35307409971568
"64" 6.33751695260275 6.60630763104432 6.70683201305074 6.96011006821753 6.74216446710312 6.3737393450092
"65" 7.31820437754183 7.05613753194231 6.39801911668652 6.59726122674264 6.78836127381971 7.09105717837229
"66" 6.95008147651 7.46652701245707 6.83070003064364 7.38884879423269 6.73141428862773 6.91989367174367
"67" 6.69605872697118 7.34716511104996 6.92192045517299 7.62946042931008 6.83492334819912 7.53885521460267
"68" 7.39103593552131 7.67931825252031 6.69012301947367 7.23459605346468 7.59831896518372 7.24900496086256
"69" 7.1680039419393 7.16547676877716 6.62181821125143 7.26284345043116 7.45965436273461 7.16752273898875
"70" 6.78406635326186 6.68242889572449 6.95969314976564 6.48771347124137 6.51480132801682 6.5779786710879
"71" 6.43539421799606 6.35193453798289 6.9412208053981 6.78815092307919 6.73104795907962 6.83527637322304
"72" 7.32825198822213 6.72362322698537 7.34027947134614 6.66698768354629 7.83286544541815 7.48139089778688
"73" 7.16248514539689 7.13306957791871 6.88758596365997 7.18493759579343 7.38185313650957 7.0284435014296
"74" 6.93288723716617 6.83190014917567 7.03561686868944 6.57868697878173 6.43294627652323 6.59371430375217
"75" 7.9836728732699 7.43234495981315 6.84812851064545 7.33875372745415 7.22919384980912 6.96900517654929
"76" 7.20791412381785 7.28085561386211 7.05931836638971 7.05243342088164 6.69616585095306 6.8817310016079
"77" 6.92999019128746 6.80822435545742 6.60255533031546 6.7468039714426 6.58477339510104 6.4453578381862
"78" 7.31097580791824 7.20131795657806 7.13637917900708 7.21552245424103 7.34833272194881 7.07804720223464
"79" 6.72552770925413 6.69329454622514 6.96638806200006 6.98542730493024 7.26682488674149 6.77835832663254
"80" 7.50399644325555 7.14263354893166 6.75664267210634 7.37572964429219 7.58884610202749 7.43947723841506
"81" 7.03638981406723 6.463663047435 5.87493905922619 6.08224184982651 6.74216551720833 6.32615643659557
"82" 6.50641153995412 7.13409517860699 6.88445535446423 6.46066565996747 5.7794845065623 6.84381389601809
"83" 7.33780892383344 7.05844010747388 6.96494082077383 7.48582324000255 7.11409392123119 6.98931900964227
"84" 6.29614191744969 6.33860983397109 6.59250269504865 6.40215135669554 6.65847465191306 7.04985668169291
"85" 6.52277401599473 6.81146569980344 6.4258043675299 6.48356679572349 6.88060418394027 5.48055295883938
"86" 7.22075595281716 6.69407481453173 6.95438262300329 6.84398122066238 7.08453756825344 7.14581552957641
"87" 7.51882651888011 7.40828586694194 6.73930088998188 7.20257056817793 7.52665274152407 7.653585060182
"88" 7.20588468002572 7.59618837692544 7.19056721259054 7.05587202591821 6.92178989941258 7.61839632235348
"89" 6.57970102597399 6.6625614004302 6.04154677507264 6.67149059944615 6.85431394316408 6.15476392227569
"90" 7.10142434539936 6.52367085230101 7.07525244142324 6.47180699194954 6.86323842375109 7.16073190095586
"91" 6.94115784993556 7.04263927427924 6.68803964651049 7.13924745041901 6.86190429059722 7.27002110728532
"92" 7.16817650396483 7.3081408684961 7.40553443347817 6.83547209154063 7.39782167839567 7.35172645155218
"93" 6.09075121070605 7.25703575959871 6.16153113371403 6.28695273958696 6.1216474965603 6.02617248868824
"94" 7.92975980384118 7.22869562195721 6.85388977989742 7.72673654837196 6.91209627059896 6.70879007575773
"95" 7.14628010832249 7.11647965601093 6.61622431023875 7.13071309282895 7.138730887347 7.0087218190415
"96" 6.21883899427626 6.49102500056528 6.04458756360629 6.65304447267228 6.56385639646331 6.81073210958882
"97" 5.68482076655002 5.9261245231765 6.01780584229571 6.14108783294691 6.32427195646245 6.30195729957028
"98" 7.68192154677625 7.34521922729522 7.51273923850008 7.45303091977339 7.4404530641852 7.85712124895188
"99" 7.12292460131834 7.73583232310007 6.28198906600678 7.14820505420993 7.17648152925396 7.53200734232293
"100" 7.07754214475352 7.20637196330417 6.96629074352751 7.14404898977419 6.96859323578869 7.25635546238157
"101" 6.75877137243241 7.22041024092166 6.73933212504504 7.17546414796244 7.03898034568998 7.06409502167235
"102" 7.4011087240288 7.10077144512678 7.09844689973659 7.44127182500811 7.3073826702042 7.32076789261215
"103" 7.55220697651653 7.51439704175429 7.73578425644947 7.01253913434247 7.45853862872839 7.43578775789006
"104" 6.80432970435379 6.43041462573398 6.42214031022859 6.58854081084699 6.30031591650969 6.70582354947084
"105" 7.39509017389789 7.0511902630552 7.17024419048713 7.43541785550723 7.36186259310435 7.28708123314291
"106" 7.059995419785 7.13769296308146 7.36151498350214 6.95258866163717 7.43860425461274 7.41535296980507
"107" 6.72986685608538 7.53878825781604 7.28445082644956 7.34045806336844 7.68149180659286 7.11589156658224
"108" 7.68439965833014 7.3195244293269 7.33330761625235 6.88281712176071 7.3830209347522 7.33755855254019
"109" 7.35662503085659 6.24683754012777 6.80451432055509 6.8712040874851 6.82235478850608 7.2831912544194
"110" 6.64831804649624 6.71279708557564 6.48116210093419 6.50444104217994 6.51904435029854 6.89602636034668
"111" 6.78344337564331 6.58509443376721 6.8230718053788 7.19431542897175 6.73972876896226 6.93837038351453
"112" 6.95144337192293 7.39579031206791 7.08372414741104 7.50694297117014 7.30885692266741 7.82075351153842
"113" 7.01545293950565 6.70138555598338 6.66561597561033 6.4042780486626 7.23546872130356 7.09577565047121
"114" 6.88857567585366 6.46708932901977 6.77563347010438 6.94740259807527 7.17778211117606 6.90345767389062
"115" 6.67393676076128 5.94782405841832 6.53549252026239 7.0468965560788 6.57875087653572 6.53350142172871
"116" 6.93333463448185 7.57405394959897 6.9537590979955 6.98117432820988 7.28906216615427 7.4026668987355
"117" 7.66766303168231 7.50064196946073 7.28950795367899 6.83094908220737 6.60967278820856 7.35570781608491
"118" 7.37005154949454 7.65810975033453 7.37304909887647 7.30135312913456 7.74074057496106 7.4784047083513
"119" 6.77393545124577 6.05453317182721 6.33065466061089 6.27030132783061 6.6044500611031 6.03294682874309
"120" 7.43322899971833 7.71963451659515 7.01456361062033 7.35325881855438 6.94540921101961 7.38621511652472
"121" 7.28699754443324 6.7686121576756 6.71745872504918 6.77457533675522 7.15503689406387 6.66284158155732
"122" 7.05832690375385 7.16605561967922 6.83449378391318 7.18534669383832 6.93992673924993 7.0072498899242
