"optimal" "dWSurv_opt" "Huang_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"33" 6.7214129541116 7.35162166753306 7.26409560858346 6.06581294466877 6.67871628429124 6.67875883061033 6.97095390267095
"34" 6.82636576755921 6.95949050145484 6.26981647122925 6.65240280837476 6.67328501652902 6.45945712274702 6.73061453726206
"35" 7.31175460237903 7.43061929272401 6.54320199093745 7.06903196864461 6.93683348919103 7.11705426698806 7.26360241301275
"36" 7.27715521992546 6.68776091448474 7.52613234225836 7.57660468007632 6.69663403034359 6.47045898848932 6.76300953370114
"37" 6.24533928797451 6.54397101584337 6.51681799705178 6.90135923458662 6.29289561240594 6.92532787289331 6.35418216753406
"38" 7.45734098942333 7.29694699144542 6.57240798453424 7.1236426158377 7.3490839677308 7.96795738769589 7.33210692579082
"39" 6.15685698732155 6.92616499115745 6.6405636991007 6.74335325272733 6.72329103243886 6.93679099702211 6.95005292306793
"40" 7.81069798828484 7.102031847783 7.11388073132321 7.28415742040884 6.77503028418852 7.28825151259723 6.67239982817927
"41" 7.56889336775927 7.30075263390356 6.80713823810101 6.68244427770994 6.85154719526444 6.75648766396365 6.93450657157336
"42" 7.45890507980611 7.60204546814529 7.52277675430611 7.02098739804525 7.20969018372282 7.58779777231078 7.2509200660447
"43" 6.71336833666809 7.57462930740555 7.62025649044154 7.41454549757269 7.55179386669649 7.4907038876481 7.73980187464007
"44" 6.46146985496723 6.87300503572124 6.73956546124406 6.21894257900327 6.55252882612542 6.45741514115605 6.3653445883324
"45" 6.72053976891841 6.74911645745084 7.08467875393986 6.78670799623948 6.02780673187163 6.37395012665876 7.05299370741817
"46" 7.05700802653164 7.70481950968684 7.10008128154478 7.52279777243695 7.64397822880414 7.31692698079006 7.58609999330163
"47" 6.81986744034038 6.90775401128162 6.55791399921448 6.26112845266088 6.35534542836805 6.97069307584004 6.73744734268331
"48" 6.62339191304215 7.343935280574 7.5531329126267 6.69642804834236 6.75344956812148 6.80471488985113 6.86062068751584
"49" 7.13422131992913 7.02030215332239 6.98354623914425 7.13832168144915 7.72966219127266 7.47387345344041 7.39357716754633
"50" 7.41782337883435 7.11595829077041 7.73969212176941 6.87652196216125 6.89398960297309 7.34872496233251 7.09175947924449
"51" 7.36957632715751 7.29736931158335 7.18913872475261 7.30251061663124 6.93665800539324 7.29264720461548 7.27652851787096
"52" 6.01646056689261 6.49676481278694 6.51428343111705 6.14408916062852 6.00859389229271 6.47190311414299 6.67848243114703
"53" 7.70135940923079 7.40096986831864 7.21829655908583 6.83113868115841 7.42311901128316 7.74444431648742 7.14699892159957
