"optimal" "dWSurv_opt" "Huang_opt" "fixed00" "fixed01" "fixed10" "fixed11"
"25" 6.44066068173241 6.4056905654132 6.11695744161464 6.64995534708433 6.3604252758892 7.16280884620644 6.54587683543408
"26" 7.91397690588012 7.12125567316774 7.16631334607254 7.08649322062232 7.00377378637874 6.63828567875918 7.07066998716189
"27" 7.81217094058137 7.09327823081135 7.04229147485723 7.52339780054066 6.57567018104629 7.29490981262798 7.32946504136387
"28" 7.08007409708199 7.48281421959282 7.29267635396263 7.04174149012471 7.38485841195291 7.00138105900382 7.43334433461805
"29" 7.38401276268279 7.14818518534628 7.31309096337267 7.06079819534568 7.6612732232794 7.80723924003977 7.29140262655566
"30" 6.82470162394253 6.61468241604944 6.94940300409376 6.20102591798874 6.2726830162549 7.16627607520754 6.57960520388825
"31" 7.46709925877489 7.0939456168328 6.97281259512584 7.58970892911317 6.79348050478919 7.56628165744293 6.76507509545458
"32" 6.76448904298495 7.24302642079979 6.78481962123038 7.24943019263955 7.3231056473162 7.22216693346486 7.47223505192846
"33" 7.75007676455941 7.25328961707321 7.07904889249787 6.83305553123852 6.89326196222185 7.2486846538699 7.19997623917835
"34" 7.07705972488753 7.39276134023648 7.50333447063675 7.41318932339377 6.58146143021765 7.6989406118909 7.15685299368478
"35" 7.19236956229323 6.99836390133688 6.42247802625862 6.58496294882408 6.36724388406893 6.94870195973145 6.29983368781436
"36" 6.47818700254449 6.46884170059114 6.29646604543369 6.45092964225929 7.12705023572393 6.60530118065621 6.38905222653533
"37" 7.2905695710314 6.91801080547453 7.51468502151697 6.74520910722394 6.94176121787346 7.41656146146523 7.45159498378633
"38" 6.75435640092058 6.89978369898242 6.42268638418317 6.26606546707655 6.8958461237654 6.57538922532179 6.96435524111567
"39" 7.51095617308101 7.01072430212103 6.98710968010607 6.80697936393447 7.27043861940072 6.25899605555339 7.55705119306516
"40" 7.51887472272661 6.76776621406718 8.11443746791483 6.94265168079522 7.0215886869269 7.41248209283883 6.98949195503704
"41" 7.37153605399055 7.64384181892388 7.19129677794724 6.66660369829285 6.91558770747628 8.09310723385816 7.33362047850015
"42" 6.47754308335507 6.66010145914946 6.26214109032449 6.42286632033277 6.46056289312184 6.74520604974149 6.18931515576529
"43" 7.00052636431912 7.49957068925649 6.97959842875074 6.82983794905184 6.24482269505154 6.60091167342954 6.50028016714967
"44" 6.66988041189336 6.6801917328773 6.6448952085307 6.28980598161299 6.40558965597337 6.86110945207902 7.00694471283112
"45" 7.22713526783381 7.12550334472033 7.15842169376803 6.66960396408427 6.97215060857009 6.66035753754795 7.34567138208612
"46" 7.18735018200857 6.84766888278143 6.94238080772658 7.2065807235846 7.27377233216854 6.72726929924133 7.02743475801634
"47" 7.46572168018618 7.27944835434341 7.1003450423782 6.95351266131829 6.70533685460095 6.86478484810072 7.05591972237835
"48" 7.18068269809098 7.26056323326964 6.83532195488084 7.2113019064371 7.20007597588548 7.8552308965424 7.4273410516591
"49" 6.85387177620375 6.12641654270351 6.61262579473047 6.12311354945497 6.08822020851383 6.30499411377853 6.80592550237084
"50" 7.3251709021789 7.45222440386655 7.03305427383171 6.97279281863198 7.40233388717715 6.88958155728282 7.19286280444393
"51" 7.52253763982746 7.51414900587887 6.97843115200972 7.50359144314384 6.8564046796637 7.28464325700866 6.62577949842396
