"V1" "V2" "V3"
"91" 1 0.983606557377049 0.983606557377049
"92" 1 0.877777777777778 0.877777777777778
"93" 1 0.879310344827586 0.879310344827586
"94" 0.756 0.813829787234043 0.723404255319149
"95" 0.866 0.937853107344633 0.892655367231638
"96" 1 0.911602209944751 0.911602209944751
"97" 1 0.881081081081081 0.881081081081081
"98" 1 0.893518518518518 0.893518518518518
"99" 1 0.967914438502674 0.967914438502674
"100" 1 0.989130434782609 0.989130434782609
"101" 1 0.759776536312849 0.759776536312849
"102" 0.852 0.912087912087912 0.835164835164835
"103" 1 0.977777777777778 0.977777777777778
"104" 1 0.955056179775281 0.955056179775281
"105" 0.888 0.871345029239766 0.830409356725146
"106" 1 0.946078431372549 0.946078431372549
"107" 0.942 0.966480446927374 0.916201117318436
"108" 1 0.97 0.97
"109" 1 0.923976608187134 0.923976608187134
"110" 1 0.859459459459459 0.859459459459459
"111" 1 0.98974358974359 0.98974358974359
"112" 1 0.925925925925926 0.925925925925926
"113" 1 0.84472049689441 0.84472049689441
"114" 1 1 1
"115" 0.886 0.95 0.927777777777778
"116" 1 0.994413407821229 0.994413407821229
"117" 1 0.727272727272727 0.727272727272727
"118" 0.986 0.926315789473684 0.910526315789474
"119" 0.886 0.989304812834225 0.935828877005348
"120" 1 0.697297297297297 0.697297297297297
"121" 1 0.937853107344633 0.937853107344633
"122" 0.838 0.962566844919786 0.909090909090909
"123" 1 0.889473684210526 0.889473684210526
"124" 1 0.988950276243094 0.988950276243094
"125" 1 0.981927710843373 0.981927710843373
"126" 1 0.957219251336898 0.957219251336898
"127" 1 0.978494623655914 0.978494623655914
"128" 1 0.894117647058824 0.894117647058824
"129" 1 0.958115183246073 0.958115183246073
"130" 1 0.92972972972973 0.92972972972973
"131" 1 0.92896174863388 0.92896174863388
"132" 1 0.925133689839572 0.925133689839572
"133" 1 0.923913043478261 0.923913043478261
"134" 1 0.955555555555556 0.955555555555556
"135" 0.73 0.984375 0.875
"136" 0.924 0.861702127659574 0.824468085106383
"137" 1 0.928934010152284 0.928934010152284
"138" 1 0.92972972972973 0.92972972972973
"139" 1 0.918478260869565 0.918478260869565
"140" 1 0.968085106382979 0.968085106382979
"141" 1 0.970930232558139 0.970930232558139
"142" 0.972 0.908163265306122 0.903061224489796
"143" 1 0.721590909090909 0.721590909090909
"144" 1 0.98989898989899 0.98989898989899
"145" 0.794 0.960591133004926 0.891625615763547
"146" 1 0.763157894736842 0.763157894736842
"147" 1 0.91 0.91
